feature,category
XP_054870007.1,thyroid
XP_054866079.1,betaoxi
XP_023117770.1,betaoxi
XP_023139232.1,betaoxi
XP_023145309.2,betaoxi
XP_023145310.2,betaoxi
XP_023120891.2,betaoxi
XP_023133942.2,betaoxi
XP_023130943.2,betaoxi
XP_054864651.1,betaoxi
XP_054870458.1,betaoxi
XP_054875351.1,betaoxi
XP_023122307.2,betaoxi
XP_023146576.1,betaoxi
XP_023136575.2,betaoxi
XP_054863461.1,betaoxi
XP_023140442.2,betaoxi
XP_023140444.2,betaoxi
XP_023147975.2,betaoxi
XP_023122686.2,betaoxi
XP_023137457.2,betaoxi
XP_023120362.2,cholesterol
XP_023134465.1,cholesterol
XP_023120813.1,cholesterol
XP_023144917.2,cholesterol
XP_023123937.1,cholesterol
XP_023144304.1,cholesterol
XP_023128167.1,cholesterol
XP_023128168.1,cholesterol
XP_054869970.1,cholesterol
XP_023142348.2,cholesterol
XP_023136166.2,cholesterol
XP_023128837.2,cholesterol
XP_023118471.2,cholesterol
XP_054870456.1,cholesterol
XP_023121094.2,cholesterol
XP_035814213.1,cholesterol
XP_035814214.1,cholesterol
XP_023147488.2,cholesterol
XP_023135201.1,cholesterol
XP_023139063.2,cholesterol
XP_023125668.1,cholesterol
XP_054867504.1,cholesterol
XP_023121501.2,cholesterol
XP_023121502.2,cholesterol
XP_023127387.2,cholesterol
XP_023125385.1,cholesterol
XP_023134036.1,cholesterol
XP_023134037.1,cholesterol
XP_023117515.2,cholesterol
XP_023132124.1,cholesterol
XP_023132125.1,cholesterol
XP_023135658.2,fatty
XP_023135657.2,fatty
XP_054872763.1,fatty
XP_054872764.1,fatty
XP_054873125.1,fatty
XP_054873126.1,fatty
XP_023125636.2,fatty
XP_023125637.2,fatty
XP_054861156.1,fatty
XP_023123253.1,fatty
XP_023123254.1,fatty
XP_023138778.1,fatty
XP_023118584.1,fatty
XP_023141525.1,fatty
XP_023146095.1,fatty
XP_023146097.1,fatty
XP_023155561.1,fatty
XP_023124684.1,fatty
XP_023122855.2,fatty
XP_054874793.1,fatty
XP_023154520.1,fatty
XP_023142385.2,fatty
XP_023154859.1,fatty
XP_054870827.1,fatty
XP_035805263.2,fatty
XP_035814501.1,fatty
XP_023148936.1,fatty
XP_023146448.2,fatty
XP_023146449.2,fatty
XP_054860306.1,fatty
XP_023120573.2,fatty
XP_023123250.1,fatty
XP_023120235.2,fatty
XP_023120236.2,fatty
XP_054875401.1,fatty
XP_054875402.1,fatty
XP_023124722.2,fatty
XP_023142348.2,fatty
XP_023136166.2,fatty
XP_023129850.1,fatty
XP_023129851.1,fatty
XP_023136896.1,fatty
XP_023131522.2,fatty
XP_023129727.1,fatty
XP_023129728.1,fatty
XP_023120571.2,fatty
XP_023120572.2,fatty
XP_023132999.2,fatty
P_023133001.2,fatty
XP_023139982.1,fatty
XP_023139983.1,fatty
XP_023123560.2,fatty
XP_023119999.1,fatty
XP_035807565.2,fatty
XP_035807566.2,fatty
XP_054872287.1,fatty
XP_023144881.1,fatty
XP_023125385.1,fatty
XP_023134036.1,fatty
XP_023134037.1,fatty
XP_054874292.1,fatty
XP_023132837.2,fatty
XP_023147219.2,fatty
XP_023148221.2,fatty
XP_023140609.2,fatty
XP_023148850.2,fatty
XP_023145102.1,fatty
XP_054868156.1,fatty
XP_035812957.2,glycolysis
XP_023127424.1,glycolysis
XP_054867834.1,glycolysis
XP_023139919.1,glycolysis
XP_023128338.1,glycolysis
XP_023128336.1,glycolysis
XP_023117939.2,glycolysis
XP_023129910.1,glycolysis
XP_054873749.1,glycolysis
XP_023149179.1,glycolysis
XP_023149180.1,glycolysis
XP_023152438.2,glycolysis
XP_054874688.1,glycolysis
XP_023150351.1,glycolysis
XP_023119553.2,glycolysis
XP_023152409.1,glycolysis
XP_023124917.1,glycolysis
XP_035810845.1,glycolysis
XP_023131583.2,glycolysis
XP_023137522.2,glycolysis
XP_035812834.1,glycolysis
XP_035812835.1,glycolysis
XP_023138655.2,glycolysis
XP_054871041.1,glycolysis
XP_054871042.1,glycolysis
XP_035802964.2,glycolysis
XP_023155052.1,glycolysis
XP_023139648.1,glycolysis
XP_023139650.1,glycolysis
XP_054870516.1,glycolysis
XP_054870517.1,glycolysis
XP_023119660.1,glycolysis
XP_023131017.1,glycolysis
XP_023121705.1,glycolysis
XP_023117637.1,glycolysis
XP_023124387.1,glycolysis
XP_035803325.1,glycolysis
XP_054866673.1,glycolysis
XP_054866677.1,glycolysis
XP_054865376.1,glycolysis
XP_023153390.1,glycolysis
XP_054873750.1,glycolysis
XP_023129916.1,glycolysis
XP_023134783.1,lactic
XP_023133459.1,lactic
XP_054862647.1,lactic
XP_023123299.2,lactic
XP_023123300.1,lactic
XP_023150489.1,lactic
XP_054872880.1,lactic
XP_023144253.2,glycolysis
XP_023133915.2,glycolysis
XP_023119985.1,glycolysis
XP_023119992.1,glycolysis
XP_023136064.2,glycolysis
XP_023118986.2,glycolysis
XP_023146524.2,glycolysis
XP_023144681.2,glycolysis
XP_023153549.2,glycolysis
XP_023148691.1,glycolysis
XP_023144983.1,krebs
XP_023144988.1,krebs
XP_023134731.1,krebs
XP_023128791.2,krebs
XP_023145965.1,krebs
XP_023124468.1,krebs
XP_023139135.2,krebs
XP_035814118.2,krebs
XP_023120595.1,krebs
XP_023151143.2,krebs
XP_023146349.1,krebs
XP_023145145.2,krebs
XP_023145146.2,krebs
XP_023125147.2,krebs
XP_023141455.1,krebs
XP_023141456.1,krebs
XP_023138004.2,krebs
XP_035809635.2,krebs
XP_054868796.1,krebs
XP_054868797.1,krebs
XP_023148344.1,krebs
XP_023148345.1,krebs
XP_023150267.2,krebs
XP_035804210.2,krebs
XP_023126318.2,krebs
XP_023116786.1,krebs
XP_054867072.1,krebs
XP_054867071.1,krebs
XP_023128575.1,krebs
XP_023119657.1,krebs
XP_035801197.1,krebs
XP_023132622.1,krebs
XP_023135063.1,krebs
XP_023119526.1,krebs
XP_023119572.1,krebs
XP_023134681.1,krebs
XP_023120291.1,krebs
XP_054870026.1,krebs
XP_023135094.1,krebs
XP_023130422.1,krebs
XP_023129554.1,krebs
XP_023124844.2,krebs
XP_054866885.1,krebs
XP_023126122.1,osmoregulation
XP_023138111.1,osmoregulation
