gene,category
ENSDARG00000116135,fatty
ENSDARG00000009473,fatty
ENSDARG00000019532,fatty
ENSDARG00000004402,fatty
ENSDARG00000114205,fatty
ENSDARG00000114205,fatty
ENSDARG00000004402,fatty
ENSDARG00000007347,fatty
ENSDARG00000069279,fatty
ENSDARG00000114975,fatty
ENSDARG00000027495,fatty
ENSDARG00000033662,fatty
ENSDARG00000033662,fatty
ENSDARG00000004979,fatty
ENSDARG00000057110,fatty
ENSDARG00000006773,fatty
ENSDARG00000103735,fatty
ENSDARG00000099079,fatty
ENSDARG00000016048,fatty
ENSDARG00000116985,fatty
ENSDARG00000100718,fatty
ENSDARG00000114435,fatty
ENSDARG00000099960,fatty
ENSDARG00000002305,fatty
ENSDARG00000105206,fatty
ENSDARG00000105206,fatty
ENSDARG00000098439,fatty
ENSDARG00000067829,fatty
ENSDARG00000030265,fatty
ENSDARG00000030265,fatty
ENSDARG00000057365,fatty
ENSDARG00000101569,fatty
ENSDARG00000101569,fatty
ENSDARG00000061994,fatty
ENSDARG00000031848,fatty
ENSDARG00000031848,fatty
ENSDARG00000031848,fatty
ENSDARG00000031848,fatty
ENSDARG00000054323,fatty
ENSDARG00000054323,fatty
ENSDARG00000053575,fatty
ENSDARG00000074635,fatty
ENSDARG00000113553,fatty
ENSDARG00000087657,fatty
ENSDARG00000109336,fatty
ENSDARG00000052734,fatty
ENSDARG00000109336,fatty
ENSDARG00000052734,fatty
ENSDARG00000004051,fatty
ENSDARG00000114071,fatty
ENSDARG00000078512,fatty
ENSDARG00000031777,fatty
ENSDARG00000031777,fatty
ENSDARG00000018025,fatty
ENSDARG00000109541,fatty
ENSDARG00000019897,fatty
ENSDARG00000068551,fatty
ENSDARG00000053215,fatty
ENSDARG00000067607,fatty
ENSDARG00000055652,fatty
ENSDARG00000076381,fatty
ENSDARG00000068064,fatty
ENSDARG00000063438,fatty
ENSDARG00000063438,fatty
ENSDARG00000079009,fatty
ENSDARG00000038639,fatty
ENSDARG00000074169,fatty
ENSDARG00000091503,fatty
ENSDARG00000042010,glycolysis
ENSDARG00000025012,glycolysis
ENSDARG00000012987,glycolysis
ENSDARG00000103826,glycolysis
ENSDARG00000043457,glycolysis
ENSDARG00000038703,glycolysis
ENSDARG00000115664,glycolysis
ENSDARG00000053684,glycolysis
ENSDARG00000005423,glycolysis
ENSDARG00000014068,glycolysis
ENSDARG00000116458,glycolysis
ENSDARG00000022456,glycolysis
ENSDARG00000099730,glycolysis
ENSDARG00000099730,glycolysis
ENSDARG00000011665,glycolysis
ENSDARG00000019702,glycolysis
ENSDARG00000039007,glycolysis
ENSDARG00000013750,glycolysis
ENSDARG00000014287,glycolysis
ENSDARG00000116757,glycolysis
ENSDARG00000101482,glycolysis
ENSDARG00000039914,glycolysis
ENSDARG00000034470,glycolysis
ENSDARG00000054191,glycolysis
ENSDARG00000110447,glycolysis
ENSDARG00000112051,glycolysis
ENSDARG00000039452,glycolysis
ENSDARG00000099860,glycolysis
ENSDARG00000099860,glycolysis
ENSDARG00000014179,glycolysis
ENSDARG00000099755,glycolysis
ENSDARG00000070598,glycolysis
ENSDARG00000113061,glycolysis
ENSDARG00000040988,glycolysis
ENSDARG00000028000,glycolysis
ENSDARG00000111428,glycolysis
ENSDARG00000012801,glycolysis
ENSDARG00000109653,glycolysis
ENSDARG00000115422,glycolysis
ENSDARG00000109412,glycolysis
ENSDARG00000060797,glycolysis
ENSDARG00000060504,glycolysis
ENSDARG00000057571,glycolysis
ENSDARG00000068006,glycolysis
ENSDARG00000111344,glycolysis
ENSDARG00000057661,glycolysis
NA,glycolysis
NA,glycolysis
ENSDARG00000101251,lactic
ENSDARG00000019644,lactic
